date     open  close    volume
                                   
2013-01-02  34.7500  34.89   52000.0
2013-01-03  34.9000  34.69   19400.0
2013-01-04  34.9000  34.94   38100.0
2013-01-07  34.6700  34.42   11000.0
2013-01-08  34.2200  34.46   27000.0
2013-01-09  34.6000  34.50   16500.0
2013-01-10  34.5200  34.45   29900.0
2013-01-11  34.5300  34.26   19800.0
2013-01-14  34.2800  34.05   57200.0
2013-01-15  33.7100  33.75   67400.0
2013-01-16  33.5600  33.63   41000.0
2013-01-17  33.6400  33.85   49200.0
2013-01-18  33.8100  33.71   36000.0
2013-01-22  33.6400  34.49   37200.0
2013-01-23  34.5000  33.89   59800.0
2013-01-24  33.8500  34.58   31200.0
2013-01-25  34.6900  35.00   51800.0
2013-01-28  34.8900  34.88   39300.0
2013-01-29  34.8900  35.00   35800.0
2013-01-30  34.9900  34.53   21000.0
2013-01-31  34.5000  34.93   50300.0
2013-02-01  35.0000  34.94   56300.0
2013-02-04  34.6900  34.39   29300.0
2013-02-05  34.6300  34.76   16000.0
2013-02-06  34.5800  34.91   14900.0
2013-02-07  34.8900  34.72   21000.0
2013-02-08  34.9700  35.01   73800.0
2013-02-11  34.8600  34.96   19800.0
2013-02-12  34.9700  34.91    9000.0
2013-02-13  34.9900  35.00   98800.0
2013-02-14  34.8900  35.49  103600.0
2013-02-15  35.4400  36.44  123100.0
2013-02-19  36.4900  36.72   84200.0
2013-02-20  36.2900  35.81   65100.0
2013-02-21  35.7200  36.06   47200.0
2013-02-22  36.3200  36.32   83000.0
2013-02-25  36.4200  35.40   52500.0
2013-02-26  35.6100  35.67   95200.0
2013-02-27  35.5800  36.28   60000.0
2013-02-28  36.2200  36.34   46800.0
2013-03-01  35.9700  36.65   51000.0
2013-03-04  36.6400  36.52   64700.0
2013-03-05  36.7500  36.78   77100.0
2013-03-06  37.0300  37.03   16200.0
2013-03-07  37.0400  37.35   35500.0
2013-03-08  37.6600  37.85   85600.0
2013-03-11  37.8500  38.25   59300.0
2013-03-12  38.2500  38.22   81200.0
2013-03-13  38.2000  38.30   36200.0
2013-03-14  38.4900  38.65   76900.0
2013-03-15  38.8100  39.02   91700.0
2013-03-18  38.5300  38.64   38200.0
2013-03-19  38.8500  38.82   62800.0
2013-03-20  38.7600  38.86   31500.0
2013-03-21  38.5200  38.77   42600.0
2013-03-22  38.9900  38.67   34100.0
2013-03-25  38.9100  38.90   39200.0
2013-03-26  39.0000  38.92   26700.0
