date      open     close      volume
                                         
2013-01-02   43.5300   43.4400   4426300.0
2013-01-03   43.2100   43.0200   2978300.0
2013-01-04   43.1400   42.8800   2735500.0
2013-01-07   42.6200   42.9000   3268500.0
2013-01-08   42.6000   41.9800   3800600.0
2013-01-09   42.6000   43.8000   5765700.0
2013-01-10   43.7600   44.1600   4324500.0
2013-01-11   44.1900   43.9800   2774500.0
2013-01-14   43.9800   44.7000   4370600.0
2013-01-15   44.1600   44.8400   3326900.0
2013-01-16   44.5400   45.3100   3406800.0
2013-01-17   45.3100   45.2200   2678000.0
2013-01-18   45.2900   44.8100   4277900.0
2013-01-22   45.1200   47.3600   9540700.0
2013-01-23   47.4800   47.0700   6161300.0
2013-01-24   47.2500   47.7900   7070200.0
2013-01-25   47.8400   48.0800   3379100.0
2013-01-28   47.9500   48.6400   4522300.0
2013-01-29   47.3900   46.1100  10305000.0
2013-01-30   46.1800   46.8500   3911500.0
2013-01-31   46.3000   47.0000   3866300.0
2013-02-01   47.4000   46.7700   3446200.0
2013-02-04   46.6200   46.3800   2986700.0
2013-02-05   46.3700   46.6300   3175900.0
2013-02-06   46.5500   47.9900   3549700.0
2013-02-07   47.7000   47.6000   3157600.0
2013-02-08   47.7600   48.4900   2914100.0
2013-02-11   48.5800   48.6000   2358700.0
2013-02-12   48.4700   48.1800   1644400.0
2013-02-13   48.3600   48.6300   1590500.0
2013-02-14   48.5600   48.8100   2032600.0
2013-02-15   48.8900   48.5900   2287700.0
2013-02-19   48.5900   48.5700   2100800.0
2013-02-20   48.6800   46.5400   2234500.0
2013-02-21   46.4400   45.7400   3186100.0
2013-02-22   46.0900   45.9000   1650200.0
2013-02-25   46.1900   44.8100   2129000.0
2013-02-26   44.9900   45.8700   3207500.0
2013-02-27   45.8200   47.0100   2538900.0
2013-02-28   46.9100   47.1600   1564900.0
2013-03-01   47.0000   48.1800   2663100.0
2013-03-04   48.2000   47.8100   2354200.0
2013-03-05   48.1500   48.3700   2461100.0
2013-03-06   48.6300   48.8300   3130500.0
2013-03-07   48.7500   47.2700   4092900.0
2013-03-08   47.5700   47.6600   3138000.0
2013-03-11   47.4100   48.0100   1781200.0
2013-03-12   48.1500   49.9900   3903000.0
2013-03-13   50.0000   50.3900   3449100.0
2013-03-14   50.4300   50.7150   1936100.0
2013-03-15   50.5000   50.1600   2743200.0
2013-03-18   49.6200   49.6000   1607600.0
2013-03-19   49.6300   48.8600   2432600.0
2013-03-20   49.4800   49.3290   2173800.0
2013-03-21   49.0000   48.1000   2671600.0
2013-03-22   48.3900   47.9300   2007800.0
2013-03-25   48.2000   47.5300   1953400.0
2013-03-26   47.8400   48.6790   3987200.0
2013-03-27   48.7200   50.1400   3257500.0
2013-03-28   49.9900   50.2900   2586300.0
2013-04-01   50.4100   50.4000   2167900.0
2013-04-02   50.5500   50.0700   2439000.0
2013-04-03   50.2500   50.6000   2920300.0
2013-04-04   50.5950   50.7800   1654100.0
2013-04-05   50.0700   49.8000   2368800.0
2013-04-08   49.7500   50.2300   1667100.0
2013-04-09   50.3200   51.5700   2205700.0
2013-04-10   51.7500   53.2100   3715100.0
2013-04-11   52.3700   52.3900   6565800.0
2013-04-12   52.4100   52.3200   1712600.0
2013-04-15   52.2200   51.1600   2554300.0
2013-04-16   51.6800   52.0300   2287900.0
2013-04-17   51.6900   50.5700   2253900.0
2013-04-18   50.9800   49.2500   3543700.0
2013-04-19   49.0400   49.9300   3180900.0
2013-04-22   50.0000   50.5100   1616300.0
2013-04-23   50.9500   53.2400   3477900.0
2013-04-24   53.5900   52.9000   3674100.0
2013-04-25   55.0700   52.6000   7535200.0
2013-04-26   52.1800   53.2900   3638400.0
2013-04-29   53.1800   54.1200   3477700.0
2013-04-30   54.1800   55.2800   3617500.0
2013-05-01   55.2000   54.8000   3131000.0
2013-05-02   55.6500   56.6600   3421200.0
2013-05-03   57.3000   57.1500   2997400.0
2013-05-06   57.3600   58.1300   2791200.0
2013-05-07   57.7800   58.8300   3303100.0
2013-05-08   58.5500   59.0100   3767700.0
