date    open  close      volume
                                    
2013-01-02  49.690  49.82    566900.0
2013-01-03  49.800  50.84    350400.0
2013-01-04  51.040  50.44    328100.0
2013-01-07  50.180  49.34    271300.0
2013-01-08  49.470  50.09    214700.0
2013-01-09  50.150  50.57    159000.0
2013-01-10  50.720  51.11    261400.0
2013-01-11  51.220  50.89    190700.0
2013-01-14  50.860  51.04    355200.0
2013-01-15  50.650  51.35    176100.0
2013-01-16  51.230  51.19    168000.0
2013-01-17  51.520  51.13    192300.0
2013-01-18  51.050  50.84    197200.0
2013-01-22  50.900  51.17    150600.0
2013-01-23  51.170  50.69    263200.0
2013-01-24  50.790  51.74    373700.0
2013-01-25  51.900  52.31    257100.0
2013-01-28  52.200  51.56    922100.0
2013-01-29  51.500  51.06    359300.0
2013-01-30  50.850  50.73    432000.0
2013-01-31  50.650  50.73    344300.0
2013-02-01  41.620  39.36   8526400.0
2013-02-04  39.600  41.16   2152900.0
2013-02-05  41.230  40.71   1021000.0
2013-02-06  40.710  41.50    750700.0
2013-02-07  42.010  42.16    839000.0
2013-02-08  42.150  43.24    875800.0
2013-02-11  43.140  42.60    614500.0
2013-02-12  42.690  42.54    533700.0
2013-02-13  42.520  42.42    401100.0
2013-02-14  42.280  43.11    807400.0
2013-02-15  43.100  42.98    630200.0
2013-02-19  43.080  42.26    438600.0
2013-02-20  42.360  41.27    965300.0
2013-02-21  41.730  42.08    910000.0
2013-02-22  42.310  41.90    751400.0
2013-02-25  41.990  41.50    491800.0
2013-02-26  41.720  41.80    348700.0
2013-02-27  41.750  41.67    346200.0
2013-02-28  41.710  42.14    245800.0
2013-03-01  41.970  41.87    597600.0
2013-03-04  41.860  42.28    568000.0
2013-03-05  42.450  43.00    526700.0
2013-03-06  43.030  42.53    337900.0
2013-03-07  42.480  42.41    485100.0
2013-03-08  42.770  42.60    434400.0
2013-03-11  42.400  42.81    479000.0
2013-03-12  42.680  43.00    339100.0
2013-03-13  43.000  42.83    333800.0
2013-03-14  43.000  43.42    264700.0
2013-03-15  43.450  44.13    761600.0
2013-03-18  43.870  43.73    284900.0
2013-03-19  43.810  43.60    469100.0
2013-03-20  43.810  43.15    351200.0
2013-03-21  42.890  42.68    339400.0
2013-03-22  42.850  42.84    134500.0
2013-03-25  42.870  42.75    161300.0
2013-03-26  42.850  42.92    338700.0
2013-03-27  42.860  42.53    302200.0
2013-03-28  42.580  42.78    187000.0
2013-04-01  42.860  42.16    213700.0
2013-04-02  42.290  41.75    248900.0
2013-04-03  41.800  41.32    404900.0
2013-04-04  41.420  41.69    384900.0
2013-04-05  41.290  41.57    327300.0
2013-04-08  41.700  42.02    220200.0
2013-04-09  42.000  41.73    284200.0
2013-04-10  41.900  42.57    286900.0
2013-04-11  42.590  43.81    715500.0
2013-04-12  43.660  43.88    433600.0
2013-04-15  43.600  42.93    683000.0
2013-04-16  43.050  43.83    625000.0
2013-04-17  43.700  43.71    901400.0
2013-04-18  43.860  43.52    490400.0
2013-04-19  43.570  43.65    355800.0
2013-04-22  43.250  43.19    627100.0
2013-04-23  43.450  42.93   1171900.0
2013-04-24  43.020  42.94    894100.0
2013-04-25  44.500  45.98   2422700.0
2013-04-26  46.200  46.12    505100.0
2013-04-29  45.480  46.19    524000.0
2013-04-30  46.250  46.18    645300.0
2013-05-01  46.070  45.82    475400.0
2013-05-02  45.900  46.34    231600.0
2013-05-03  46.780  47.48    351100.0
2013-05-06  47.570  47.90    441800.0
2013-05-07  48.100  48.84    625900.0
2013-05-08  48.700  48.95    431600.0
2013-05-09  48.840  48.74    242700.0
2013-05-10  48.810  48.72    245800.0
2013-05-13  48.810  48.66    202600.0
2013-05-14  48.570  49.55    314200.0
2013-05-15  49.640  49.34    309400.0
2013-05-16  49.370  49.61    258500.0
2013-05-17  49.970  49.81    280000.0
2013-05-20  49.760  49.85    249500.0
2013-05-21  49.820  50.04    501100.0
2013-05-22  50.300  50.65    554500.0
2013-05-23  50.440  50.37    757100.0
2013-05-24  50.120  50.05    349700.0
2013-05-28  50.250  50.76    423300.0
2013-05-29  50.450  49.50    224500.0
2013-05-30  49.550  49.90    264500.0
2013-05-31  49.710  49.84    285100.0
2013-06-03  50.050  50.19    431600.0
2013-06-04  50.090  50.63    412000.0
2013-06-05  50.440  49.88    402300.0
2013-06-06  49.660  50.24    202000.0
2013-06-07  50.530  50.55    373200.0
2013-06-10  50.710  51.46    285000.0
2013-06-11  51.010  51.00    245800.0
2013-06-12  51.160  50.81    321100.0
2013-06-13  50.820  51.82    233500.0
2013-06-14  51.690  51.36    358300.0
2013-06-17  51.640  51.59    223100.0
2013-06-18  51.740  51.29    236600.0
2013-06-19  51.210  50.29    384800.0
2013-06-20  49.940  49.70    340200.0
2013-06-21  49.800  49.28    665700.0
2013-06-24  49.020  48.76    311900.0
2013-06-25  49.100  49.00    301000.0
2013-06-26  49.330  48.78    311800.0
2013-06-27  49.090  49.97    294100.0
2013-06-28  49.960  50.11    854800.0
2013-07-01  50.210  50.70    224200.0
2013-07-02  50.660  50.30    215600.0
2013-07-03  50.050  50.62     65300.0
2013-07-05  51.160  50.99    131800.0
2013-07-08  51.210  51.08    261300.0
2013-07-09  51.300  52.06    329900.0
2013-07-10  52.010  52.20    177600.0
2013-07-11  52.620  53.09    241600.0
2013-07-12  53.080  53.70    388100.0
2013-07-15  53.860  54.00    222700.0
2013-07-16  54.020  54.37    413300.0
2013-07-17  54.630  54.39    377700.0
2013-07-18  55.000  56.17    858900.0
2013-07-19  56.010  56.45    487100.0
2013-07-22  56.390  55.39    212200.0
2013-07-23  55.550  55.07    190800.0
2013-07-24  55.230  54.04    399500.0
2013-07-25  54.070  52.84    719000.0
2013-07-26  52.760  53.94    873100.0
2013-07-29  53.960  53.63    301300.0
2013-07-30  53.700  53.61    314900.0
2013-07-31  53.620  53.29    250100.0
2013-08-01  53.780  53.84    536700.0
2013-08-02  53.830  54.23    260200.0
2013-08-05  54.270  53.89    211200.0
2013-08-06  53.810  53.23    151500.0
2013-08-07  53.070  52.63    155200.0
2013-08-08  52.900  53.00    157600.0
2013-08-09  52.940  52.65    108700.0
2013-08-12  52.330  52.78    362000.0
2013-08-13  52.880  53.40    140700.0
2013-08-14  53.400  53.09    153100.0
2013-08-15  52.600  50.97    502000.0
2013-08-16  50.710  49.95    356500.0
2013-08-19  50.050  50.36    266400.0
2013-08-20  50.530  50.86    408700.0
2013-08-21  50.810  50.86    275200.0
2013-08-22  51.020  51.40     87200.0
2013-08-23  51.410  51.44    174900.0
2013-08-26  51.370  51.69    219700.0
2013-08-27  51.010  50.08    258000.0
2013-08-28  50.200  50.20    177500.0
2013-08-29  50.190  50.16    276500.0
2013-08-30  50.090  49.99    256200.0
2013-09-03  50.390  49.01    683600.0
2013-09-04  48.940  49.24    192300.0
2013-09-05  49.350  48.77    249500.0
2013-09-06  49.020  48.35    387800.0
2013-09-09  48.540  49.55    284500.0
2013-09-10  49.840  50.03    269600.0
2013-09-11  49.870  49.69    177000.0
2013-09-12  49.490  48.47    409200.0
2013-09-13  48.690  49.26    216400.0
2013-09-16  49.820  49.02    196800.0
2013-09-17  48.980  49.55    175500.0
2013-09-18  49.560  50.26    148800.0
2013-09-19  50.270  51.23    277700.0
2013-09-20  51.480  51.03    420000.0
2013-09-23  51.070  50.88    169300.0
2013-09-24  50.830  51.22    310700.0
2013-09-25  51.350  51.00    174100.0
2013-09-26  51.100  51.27    203700.0
2013-09-27  50.940  51.24    164800.0
2013-09-30  50.890  51.47    429900.0
2013-10-01  51.540  52.35    524400.0
2013-10-02  52.060  52.38    211100.0
2013-10-03  52.210  51.24    284400.0
2013-10-04  51.130  50.86    199300.0
2013-10-07  50.500  49.44    262800.0
2013-10-08  49.330  48.60    267500.0
2013-10-09  48.790  49.55    309800.0
2013-10-10  50.070  50.32    329000.0
2013-10-11  50.220  51.25    229600.0
2013-10-14  51.030  51.77    235500.0
2013-10-15  51.560  51.25    192000.0
2013-10-16  51.360  50.04    517700.0
2013-10-17  49.870  50.83    409400.0
2013-10-18  51.200  50.90    334700.0
2013-10-21  50.820  50.90    166900.0
2013-10-22  50.940  50.64    246500.0
2013-10-23  50.650  48.34    804400.0
2013-10-24  48.510  47.90   1073700.0
2013-10-25  47.960  47.54    334300.0
2013-10-28  47.570  47.20    319200.0
2013-10-29  47.390  47.45    352000.0
2013-10-30  47.600  46.31    472800.0
2013-10-31  46.180  45.42    601200.0
2013-11-01  45.340  45.13    495400.0
2013-11-04  45.400  46.88    393600.0
2013-11-05  46.640  46.63    494200.0
2013-11-06  46.840  46.76    322400.0
2013-11-07  46.960  46.45    426800.0
2013-11-08  46.390  46.73    502300.0
2013-11-11  46.790  47.33    376700.0
2013-11-12  47.310  47.02    227400.0
2013-11-13  46.620  47.47    359100.0
