date     open   close      volume
                                      
2013-01-02   54.880   54.54   5358100.0
2013-01-03   53.440   51.99  14413200.0
2013-01-04   52.200   52.09  10458000.0
2013-01-07   51.884   52.09   7804500.0
2013-01-08   52.000   51.40   8196200.0
2013-01-09   51.590   52.37   5154300.0
2013-01-10   52.520   53.11   6506500.0
2013-01-11   53.400   52.82  10182500.0
2013-01-14   52.870   53.36   7119900.0
2013-01-15   53.220   53.62   5802900.0
2013-01-16   53.640   53.66   6474500.0
2013-01-17   53.760   54.40  14438900.0
2013-01-18   54.400   54.56   7023900.0
2013-01-22   54.650   56.02   9330000.0
2013-01-23   56.110   55.91   6665700.0
2013-01-24   56.030   56.22   4221700.0
2013-01-25   56.360   56.04   5604700.0
2013-01-28   56.420   55.81   5736900.0
2013-01-29   55.750   56.28   7317600.0
2013-01-30   56.250   56.08   6269200.0
2013-01-31   55.840   55.21   6957500.0
2013-02-01   55.740   55.77   6369500.0
2013-02-04   55.320   55.75   4795700.0
2013-02-05   57.070   57.77   8645500.0
2013-02-06   57.440   57.38   5266100.0
2013-02-07   57.360   57.05   6050700.0
2013-02-08   57.160   57.74   4554600.0
2013-02-11   57.560   57.12   4166800.0
2013-02-12   57.200   57.01   4448600.0
2013-02-13   57.010   57.23   4261200.0
2013-02-14   57.010   57.05   5173800.0
2013-02-15   57.060   57.32   5750400.0
2013-02-19   54.200   56.66  14566200.0
2013-02-20   56.510   55.21   7542900.0
2013-02-21   55.570   55.24   6357300.0
2013-02-22   55.400   54.47   8400700.0
2013-02-25   54.690   53.30   6807800.0
2013-02-26   53.510   53.05   6325100.0
2013-02-27   52.960   53.87   5133800.0
2013-02-28   53.820   53.45   5879800.0
2013-03-01   53.340   53.52   6972100.0
2013-03-04   53.310   53.32   4783000.0
2013-03-05   53.430   53.50   4911700.0
2013-03-06   53.560   53.61   5562600.0
2013-03-07   53.760   53.80   4455700.0
2013-03-08   53.970   53.81   4584400.0
2013-03-11   53.830   54.21   4008700.0
2013-03-12   54.170   54.83   5466300.0
2013-03-13   54.680   54.48   4343000.0
2013-03-14   54.580   54.73   5066800.0
2013-03-15   54.630   54.73   7888300.0
2013-03-18   54.300   55.00   5974200.0
2013-03-19   55.000   55.17   5486600.0
2013-03-20   55.470   54.88   4528800.0
2013-03-21   54.690   55.06   4953700.0
2013-03-22   55.140   54.46   5415900.0
2013-03-25   54.650   54.86   5142500.0
2013-03-26   55.140   55.65   6059700.0
2013-03-27   55.550   56.62   8525800.0
2013-03-28   56.660   57.21   5685400.0
2013-04-01   57.160   58.97   9006100.0
2013-04-02   61.630   61.74  22664600.0
2013-04-03   62.410   61.67  10140400.0
2013-04-04   61.750   62.03   7648400.0
2013-04-05   61.920   62.10   6841300.0
2013-04-08   62.070   61.89   4545600.0
2013-04-09   62.090   62.18   4405900.0
2013-04-10   62.320   62.41   4400600.0
2013-04-11   62.390   62.98   4738900.0
2013-04-12   62.830   63.03   4162000.0
2013-04-15   62.720   61.59   4625600.0
2013-04-16   62.180   62.81   4976400.0
2013-04-17   62.390   62.03   8429000.0
2013-04-18   59.390   59.69  14015000.0
2013-04-19   59.940   60.04   6524600.0
2013-04-22   59.990   59.22   6020900.0
2013-04-23   59.470   58.54   6277700.0
2013-04-24   58.900   58.79   5883000.0
2013-04-25   59.130   59.34   5669100.0
2013-04-26   59.260   59.48   5798100.0
2013-04-29   59.950   60.01   4861600.0
2013-04-30   60.140   59.93   5701800.0
2013-05-01   59.960   59.72   4897800.0
2013-05-02   59.710   59.48   6072500.0
2013-05-03   59.790   58.92   5149500.0
2013-05-06   59.380   60.20   5609600.0
2013-05-07   60.080   60.50   4830700.0
2013-05-08   60.320   62.51  10032800.0
2013-05-09   62.250   62.01   6416700.0
2013-05-10   62.040   62.91   5015700.0
2013-05-13   62.670   62.39   3490400.0
2013-05-14   62.300   61.73   5390300.0
2013-05-15   61.520   61.61   6808200.0
2013-05-16   61.300   62.14   6904800.0
2013-05-17   62.250   62.84   5840800.0
2013-05-20   62.730   62.56   2688200.0
2013-05-21   62.570   62.87   3248400.0
2013-05-22   62.000   62.28   6317500.0
2013-05-23   62.090   62.36   4479100.0
2013-05-24   62.020   62.06   4697900.0
2013-05-28   62.490   63.34   5341000.0
2013-05-29   63.320   63.35   5009100.0
2013-05-30   63.430   64.66   5671300.0
2013-05-31   64.450   62.63   5888300.0
2013-06-03   62.890   62.80   3756200.0
2013-06-04   62.600   62.36   5151100.0
2013-06-05   63.010   61.75   5380100.0
2013-06-06   61.750   61.92   4711400.0
2013-06-07   62.270   62.57   5214700.0
2013-06-10   62.580   63.68   5256600.0
2013-06-11   63.150   63.93   6063400.0
2013-06-12   64.240   63.83   3891100.0
2013-06-13   63.700   64.15   4379500.0
2013-06-14   64.130   63.80   3122600.0
2013-06-17   64.290   64.37   4975000.0
2013-06-18   64.900   65.68   5183300.0
2013-06-19   65.700   65.26   6370200.0
2013-06-20   64.800   63.80   5748300.0
2013-06-21   64.190   63.90   7806500.0
2013-06-24   63.490   64.65   5717100.0
2013-06-25   65.030   63.73   4959100.0
2013-06-26   64.030   64.78   4851700.0
2013-06-27   65.060   66.09   4483600.0
2013-06-28   65.620   65.48   6867800.0
2013-07-01   65.890   65.63   3736500.0
2013-07-02   65.430   65.27   4484800.0
2013-07-03   64.950   65.54   2271100.0
2013-07-05   65.960   66.17   2356500.0
2013-07-08   66.950   67.56   6192500.0
2013-07-09   68.020   67.97   4275700.0
2013-07-10   68.000   67.69   4383900.0
2013-07-11   68.270   68.36   6588900.0
2013-07-12   68.570   68.00   4645600.0
2013-07-15   68.130   67.62   3813600.0
2013-07-16   67.240   66.91   5459600.0
2013-07-17   67.010   66.23   8904300.0
2013-07-18   69.350   70.55  14082900.0
2013-07-19   70.610   71.45   7504900.0
2013-07-22   71.560   72.18   5038000.0
2013-07-23   72.210   72.69   3934300.0
2013-07-24   72.810   72.53   6023300.0
2013-07-25   72.080   72.62   3840600.0
2013-07-26   72.130   72.21   3826000.0
2013-07-29   72.110   72.79   3835300.0
2013-07-30   72.880   72.27   5375400.0
2013-07-31   72.470   72.85   5964700.0
2013-08-01   73.230   73.16   3254000.0
2013-08-02   73.030   72.26   3622500.0
2013-08-05   72.360   73.34   2871000.0
2013-08-06   73.180   73.24   3089500.0
2013-08-07   73.180   72.92   2807300.0
2013-08-08   73.150   73.18   2171600.0
2013-08-09   73.200   72.93   2556900.0
2013-08-12   72.410   72.39   3043300.0
2013-08-13   72.430   73.35   2627400.0
2013-08-14   73.190   72.49   3079000.0
2013-08-15   71.990   71.40   3402000.0
2013-08-16   71.150   71.43   3323600.0
2013-08-19   71.530   71.71   2794800.0
