date    open   close     volume
                                    
2013-01-02   7.820   7.880   724200.0
2013-01-03   7.910   7.650   321200.0
2013-01-04   7.710   7.620   302500.0
2013-01-07   7.540   7.540   299200.0
2013-01-08   7.550   7.560   240700.0
2013-01-09   7.580   7.670   498200.0
2013-01-10   7.710   7.410   220400.0
2013-01-11   7.450   7.390   252900.0
2013-01-14   7.380   7.400   198900.0
2013-01-15   7.350   7.440   264900.0
2013-01-16   7.420   7.470   563400.0
2013-01-17   7.530   7.620   503800.0
2013-01-18   7.610   7.590   345500.0
2013-01-22   7.610   7.710   219300.0
2013-01-23   7.690   7.700   419800.0
2013-01-24   7.690   7.620   367800.0
2013-01-25   7.690   7.800   450700.0
2013-01-28   7.830   8.060  1023000.0
2013-01-29   8.050   8.050   328300.0
2013-01-30   8.020   8.030   444100.0
2013-01-31   8.060   8.140   869700.0
2013-02-01   8.220   8.160   416800.0
2013-02-04   8.040   8.190   531400.0
2013-02-05   8.230   8.510   957200.0
2013-02-06   8.440   7.680  2392000.0
2013-02-07   7.690   7.750   780900.0
2013-02-08   7.760   8.140  1338900.0
2013-02-11   8.230   7.950   807900.0
2013-02-12   7.960   8.390   412300.0
2013-02-13   8.380   8.520   452100.0
2013-02-14   8.460   8.600   251200.0
2013-02-15   8.590   8.650   422500.0
2013-02-19   8.650   8.820   308200.0
2013-02-20   8.790   8.440   412100.0
2013-02-21   8.410   8.410   547900.0
2013-02-22   8.510   8.670   271700.0
2013-02-25   8.730   8.500   319000.0
2013-02-26   8.580   8.480   370600.0
2013-02-27   8.460   8.460   248900.0
2013-02-28   8.490   8.570   344600.0
2013-03-01   8.480   8.380   230500.0
2013-03-04   8.330   8.260   267100.0
2013-03-05   8.300   8.450   314000.0
2013-03-06   8.650   8.430   358200.0
2013-03-07   8.380   9.020   809900.0
2013-03-08   9.100   9.050   319900.0
2013-03-11   8.990   9.170   424500.0
2013-03-12   9.100   9.080   249900.0
2013-03-13   9.060   8.870   203700.0
2013-03-14   8.920   8.860   347700.0
2013-03-15   8.820   8.800   278000.0
2013-03-18   8.650   8.780   102900.0
2013-03-19   8.780   8.610   145500.0
2013-03-20   8.700   8.720    78600.0
2013-03-21   8.600   8.530   144800.0
2013-03-22   8.550   8.400   133100.0
2013-03-25   8.410   8.420   173300.0
2013-03-26   8.440   8.400   154800.0
2013-03-27   8.320   8.300   168800.0
2013-03-28   8.320   8.150   322500.0
2013-04-01   8.150   8.100   262600.0
2013-04-02   8.150   8.150   168800.0
2013-04-03   8.170   8.180   238400.0
2013-04-04   8.160   8.240   172500.0
2013-04-05   8.070   8.070   355000.0
2013-04-08   8.090   8.240   555800.0
2013-04-09   8.250   8.570   203600.0
2013-04-10   8.650   8.980   411800.0
2013-04-11   8.990   8.660   236300.0
2013-04-12   8.600   8.590   152300.0
2013-04-15   8.550   8.100   325200.0
2013-04-16   8.220   8.340   162100.0
2013-04-17   8.210   8.000   233500.0
2013-04-18   8.050   8.150   141000.0
2013-04-19   8.150   8.180   171200.0
2013-04-22   8.200   8.090   166600.0
2013-04-23   8.170   8.240   163400.0
